"recordID","name","site","YEAR"
77,"PhillipsR","HBR",2015
77,"LorenzK",NA,2015
77,"SouthwellC",NA,2015
77,"van FranekerJ",NA,2015
77,"WeimerskirchH",NA,2015
77,"WieneckeB",NA,2015
77,"WoehlerE",NA,2015
77,"FishpoolL",NA,2015
77,"LascellesB",NA,2015
77,"CooperJ",NA,2015
77,"CoriaN",NA,2015
77,"CroxallJ",NA,2015
77,"EmmersonL",NA,2015
77,"FijnR",NA,2015
78,"HuddlestonS",NA,2015
78,"PorterJ","VCR",2015
78,"BrownD","BNZ",2015
78,"BrownD","MCR",2015
79,"KnoeppJ","CWT",2015
79,"TaylorR","PIE",2015
79,"BoringL",NA,2015
79,"MiniatC","CWT",2015
80,"MigliavaccaM",NA,2015
80,"BlackT",NA,2015
80,"CarvalhaisN",NA,2015
80,"CeccheriniG",NA,2015
80,"ChenJ","KBS",2015
80,"GobronN",NA,2015
80,"KoffiE",NA,2015
80,"MungerJ","HFR",2015
80,"Perez-PriegoO",NA,2015
80,"RobustelliM",NA,2015
80,"TomelleriE",NA,2015
80,"ReichsteinM",NA,2015
80,"CescattiA",NA,2015
80,"RichardsonA","HBR",2015
80,"RichardsonA","HFR",2015
80,"MahechaM",NA,2015
80,"CremoneseE",NA,2015
80,"DelpierreN",NA,2015
80,"GalvagnoM",NA,2015
80,"LawB",NA,2015
80,"WohlfahrtG",NA,2015
81,"GormanK","PAL",2015
82,"TownsendA","NWT",2015
82,"CoochE",NA,2015
82,"SillettT",NA,2015
82,"RodenhouseN","HBR",2015
82,"HolmesR","HBR",2015
82,"WebsterM",NA,2015
83,"CampbellJ","HBR",2015
83,"CampbellJ","AND",2015
83,"CampbellJ","FCE",2015
83,"HildebrandJ",NA,2015
84,"LeonardiN","VCR",2015
84,"LeonardiN","LUQ",2015
84,"KolkerA",NA,2015
84,"FagherazziS","PIE",2015
85,"GoerickeR","CCE",2015
85,"OhmanM","CCE",2015
86,"BundyK",NA,2015
86,"BarbeauK","CCE",2015
87,"GravesR","NTL",2015
87,"PearsonS","CWT",2015
87,"TurnerM","NTL",2015
88,"BenettinP",NA,2015
88,"BaileyS","HBR",2015
88,"CampbellJ","HBR",2015
88,"CampbellJ","AND",2015
88,"CampbellJ","FCE",2015
